Nome,"Tipo Variação",Variante,Categoria,Marca,Referência,"Código de Barras",Descrição,"Descrição na Fatura",PVP,"Preço Fornecedor",Unidade,"Controlar Stock","IVA - Taxa","IVA - Isenção (Código)","IVA - Isenção (Norma)","Tipo de Produto","Classe de Bem","Loja principal","Stock - Loja principal","Margem de Lucro (%)- Normal",Imagem
"Menu Almoço - Big Hot Salmão Filadélfia",,,"Take away Sushi in Sushi",,VMEN168-24040398,,,Não,"10,5000","0,0000",Uni,Sim,13,,,P,,S,"-31,0000",100,https://www.vendus.pt/foto/8746cd0647b3e891053f283965cc22ef.jpeg
"Caneca Super Bock",,,"Take away Sushi in Sushi",,VCAN169-24040355,,,Não,"3,5000","0,0000",Uni,Sim,23,,,P,,S,"-164,0000",100,https://www.vendus.pt/foto/9519b9085607294604b765059a3d37b5.jpg
Festival,,,"Take away Sushi in Sushi",,VFES170-24040397,,,Não,"20,0000","0,0000",Uni,Sim,13,,,P,,S,"-1591,0000",100,
Festival,,,"Take away Sushi in Sushi",,VFES171-24040395,,,Não,"21,0000","0,0000",Uni,Sim,13,,,P,,S,"-1697,0000",100,
Gengibre,,,Delivery,,VGEN172-24040335,,,Não,"1,2000","0,0000",Uni,Sim,13,,,P,,S,"-786,0000",100,https://www.vendus.pt/foto/6e709f7afe5d7d4a7ec650c7f6263162.jpg
Brasear,,,Delivery,,VBRA173-24040367,,,Não,"1,2000","0,0000",Uni,Sim,13,,,P,,S,"-145,0000",100,https://www.vendus.pt/foto/8b15083ea7c8a72785be3c6c5b8a317b.jpg
Coca-Cola,,,Delivery,,VCOC174-24040396,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-612,0000",100,https://www.vendus.pt/foto/24106833a51bce9c44f952fb9e991372.png
"Coca-Cola Zero",,,Delivery,,VCOC175-24040324,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-807,0000",100,https://www.vendus.pt/foto/3d974ffdcf57b65a6f26069cd909d95c.png
"Sumol Laranja",,,Delivery,,VSUM176-24040363,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-46,0000",100,https://www.vendus.pt/foto/8e0f45c256d9f0ba381246d620df83c1.jpg
Água,,,Delivery,,VAGU177-24040383,,,Não,"1,5000","0,0000",Uni,Sim,23,,,P,,S,"-75,0000",100,https://www.vendus.pt/foto/c3dff2c7439f36d8eeec6b9ec7d916ce.png
"Super Bock",,,Delivery,,VSUP178-24040365,,,Não,"3,0000","0,0000",Uni,Sim,23,,,P,,S,"-107,0000",100,https://www.vendus.pt/foto/43979235da34712f0d3ff216c05a3bcf.png
